id,group,theta,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10
134,LowVVIQ,-0.4224968323396248,5,2,3,3,3,3,4,2,2,1
135,LowVVIQ,-2.0532472215405155,1,1,4,1,1,1,3,1,1,1
136,HighVVIQ,1.1313372134141755,5,5,5,5,5,5,5,4,5,2
137,LowVVIQ,-1.460640070924822,1,1,3,1,1,1,2,1,1,1
138,HighVVIQ,0.7399475108773345,5,5,5,5,5,5,5,2,4,1
139,HighVVIQ,1.9091035692174834,5,5,5,5,5,5,5,3,5,5
140,LowVVIQ,-1.4438931609717993,1,2,4,2,1,1,2,1,1,1
141,HighVVIQ,0.7017843353747109,5,5,5,3,4,5,5,2,5,4
142,LowVVIQ,-0.262197489402468,4,3,4,5,5,4,4,3,1,1
143,LowVVIQ,-1.5721441591454877,1,1,2,1,1,1,2,1,1,1
144,LowVVIQ,-1.5146676537817514,1,1,1,1,1,2,1,1,1,1
145,LowVVIQ,-1.6015361735745934,1,1,4,1,2,1,1,2,1,1
146,LowVVIQ,-0.530906522170303,3,5,2,1,3,1,3,1,5,3
147,LowVVIQ,-1.4617555849958999,1,1,4,2,1,1,1,2,1,1
148,HighVVIQ,0.6879167729758275,5,5,5,5,5,3,3,4,5,1
149,HighVVIQ,2.1001089405256717,5,5,5,5,5,5,5,5,5,5
150,LowVVIQ,-1.287030476035179,1,1,1,1,1,1,4,1,3,1
151,HighVVIQ,0.7877388474751781,5,5,5,5,4,3,4,3,5,1
152,HighVVIQ,0.7690422410009099,5,5,5,5,4,5,5,1,4,3
153,HighVVIQ,0.3322025789501177,4,5,3,5,4,5,4,3,4,2
154,LowVVIQ,-1.0083766082770078,1,2,2,1,2,1,4,2,1,1
155,LowVVIQ,-0.11945260663065868,5,4,5,4,3,2,4,1,1,2
156,LowVVIQ,-0.2803953351702467,1,3,5,3,3,3,3,1,1,1
157,HighVVIQ,0.5629895332204798,4,4,4,5,3,5,4,1,3,2
158,LowVVIQ,-0.37243875610382904,3,5,4,2,3,3,5,2,4,1
159,HighVVIQ,0.9769733866856207,4,4,5,5,5,5,5,5,5,4
160,LowVVIQ,-0.37458085776701383,3,2,2,2,2,3,3,1,2,2
161,HighVVIQ,1.052711465579332,5,5,5,5,4,5,5,1,5,4
162,LowVVIQ,-1.0491770066660657,1,1,3,1,2,1,3,2,2,1
163,LowVVIQ,-1.2601552447581124,1,1,1,3,2,1,5,2,1,1
164,HighVVIQ,3.2410399349424046,5,5,5,5,5,5,5,5,5,5
165,LowVVIQ,-0.4168575881604318,2,4,5,2,5,3,1,2,1,1
166,HighVVIQ,0.2982275915407153,5,5,5,5,5,4,2,1,5,3
167,HighVVIQ,0.6365696740338487,5,5,5,5,5,4,3,3,5,3
168,LowVVIQ,-0.4837806257087436,2,3,3,3,5,1,5,1,1,1
169,HighVVIQ,0.516862044313609,3,5,3,5,4,5,5,5,5,2
170,HighVVIQ,0.368964527385086,2,5,5,5,4,2,5,2,1,4
171,LowVVIQ,-0.2153805076416934,2,1,3,2,4,3,4,1,3,1
172,HighVVIQ,0.06529303352531526,4,4,5,2,2,4,3,2,4,1
173,LowVVIQ,-0.034067253738464,1,4,5,1,2,2,3,1,3,3
174,HighVVIQ,2.128451899016181,5,5,5,5,5,5,5,5,5,5
175,LowVVIQ,-0.7413360962728284,1,1,5,3,2,3,2,1,1,1
176,LowVVIQ,-1.095996267074664,1,1,1,1,1,1,2,1,2,2
177,HighVVIQ,0.03778839917107882,2,3,5,2,3,3,3,2,2,2
178,HighVVIQ,0.310480749443137,5,5,5,5,5,5,5,2,2,1
179,HighVVIQ,0.43652347891018295,5,5,4,5,5,4,5,1,5,2
180,LowVVIQ,-0.4583653327111057,2,4,2,5,3,1,5,1,3,1
181,LowVVIQ,-1.063326133971191,2,1,3,3,2,1,1,1,2,1
182,HighVVIQ,1.26318517608949,5,5,5,5,5,5,5,5,5,5
183,LowVVIQ,-0.34965038795355474,2,5,4,2,3,3,3,1,2,3
184,LowVVIQ,-0.865512862653374,2,2,4,1,2,1,3,2,2,1
185,LowVVIQ,-0.23627956894109653,4,3,3,4,3,3,1,2,4,2
186,LowVVIQ,-0.1971758943485522,3,2,3,5,2,4,4,1,1,3
187,HighVVIQ,1.1099202897136404,5,5,5,5,5,5,4,5,4,4
188,HighVVIQ,0.08473729219719646,5,5,4,2,3,5,4,1,2,1
189,HighVVIQ,0.7540537851845215,5,5,5,5,5,4,3,5,5,3
190,LowVVIQ,-0.4992920171722608,2,3,4,1,1,2,5,2,1,1
191,HighVVIQ,0.21444530958160127,4,5,4,5,5,5,3,2,3,2
192,LowVVIQ,-0.3246859114908347,2,4,2,3,3,3,3,2,1,2
193,HighVVIQ,0.09458352817357142,5,5,4,1,5,4,2,2,3,1
194,LowVVIQ,-0.8953633579775416,2,1,5,2,2,1,2,1,1,1
195,LowVVIQ,-1.310801533327972,1,1,1,1,2,1,5,1,2,1
196,HighVVIQ,1.9972133847479665,5,5,5,4,5,5,5,3,5,5
197,HighVVIQ,0.6007088236724176,3,5,5,5,5,4,5,4,4,5
198,LowVVIQ,-1.251271361624944,1,1,3,1,2,1,1,1,2,1
199,LowVVIQ,-0.6111659166804209,2,4,4,1,5,2,5,1,1,1
200,LowVVIQ,-1.1854800845973104,1,2,2,1,3,2,3,1,1,1
201,HighVVIQ,2.1988103488837196,5,5,5,5,5,5,5,5,5,5
202,HighVVIQ,1.3124129764335104,5,5,5,5,5,5,5,2,5,5
203,LowVVIQ,-0.26514505669635297,4,3,4,1,4,1,3,1,3,1
204,HighVVIQ,0.5431940592320895,3,5,5,5,5,4,5,5,4,4
205,LowVVIQ,-0.4143399479188597,1,4,5,1,5,2,2,1,1,2
206,LowVVIQ,-0.4762468946155784,1,3,4,4,3,4,4,1,2,2
207,LowVVIQ,-0.7886028378502425,2,3,4,2,3,1,5,1,2,1
208,LowVVIQ,-0.594617267459511,2,3,5,4,3,2,5,1,1,1
209,HighVVIQ,1.6509074673366901,5,5,5,5,5,5,5,2,5,5
210,LowVVIQ,-0.0540281250854405,3,3,4,4,4,3,4,1,4,1
211,HighVVIQ,0.11924523642758414,3,5,4,4,3,4,4,1,5,2
212,HighVVIQ,0.243687429599092,3,4,5,5,5,5,5,4,3,2
213,HighVVIQ,1.2324758784853378,4,5,5,5,5,5,5,3,5,5
214,LowVVIQ,-0.5160638309447803,1,3,5,4,3,3,4,2,1,1
215,LowVVIQ,-0.9925071503920374,1,1,1,1,4,1,4,1,1,1
216,HighVVIQ,1.6756969324031898,5,5,5,5,5,5,5,4,5,5
217,LowVVIQ,-0.44116321690528554,2,1,3,2,5,3,4,2,3,1
218,LowVVIQ,-0.7230659699398736,3,3,4,1,2,1,3,1,1,1
219,LowVVIQ,-1.236273118883293,2,2,3,1,2,1,4,1,1,1
220,LowVVIQ,-1.2847157223177965,1,1,1,2,1,3,2,1,1,1
221,LowVVIQ,-0.5739734792979869,2,3,4,4,2,1,3,1,1,2
222,HighVVIQ,0.6179858171665286,3,3,5,5,5,5,5,2,5,4
223,HighVVIQ,1.1098481389297183,5,5,5,5,5,5,4,2,5,2
224,HighVVIQ,0.707588353835588,5,5,5,5,5,5,5,4,5,5
225,LowVVIQ,-0.3636572970952526,3,2,3,3,3,1,2,3,2,1
226,HighVVIQ,0.059749937384600695,2,4,5,2,4,4,5,3,4,4
227,LowVVIQ,-0.70459646368007,5,4,4,2,2,1,2,1,3,1
228,LowVVIQ,-0.7172181615740102,1,1,1,1,3,2,2,1,2,1
229,HighVVIQ,0.88465049897692,5,5,5,4,3,5,5,4,5,5
230,LowVVIQ,-1.0155925786035442,2,2,3,2,1,1,3,1,1,1
231,HighVVIQ,1.955293965492464,5,5,5,5,5,5,4,4,5,5
232,LowVVIQ,-0.09031959396585161,2,2,4,3,5,5,5,2,3,1
233,HighVVIQ,0.21453882662921628,5,2,5,3,5,5,1,1,4,3
234,LowVVIQ,-0.7385277047395734,4,3,2,2,1,5,2,3,2,1
235,LowVVIQ,-0.5743886897632697,2,3,2,3,4,2,1,1,1,1
236,LowVVIQ,-1.3170161323052418,1,3,2,1,2,1,2,1,1,1
237,LowVVIQ,-0.18292538837272732,3,4,4,2,3,4,4,2,4,1
238,HighVVIQ,0.41898240492446387,5,5,5,5,5,5,4,2,4,1
239,HighVVIQ,0.32430434416138,3,5,5,5,5,5,3,2,5,3
240,LowVVIQ,-0.7815364870547514,4,1,3,2,2,2,3,1,1,1
241,LowVVIQ,-0.7886219708540015,1,3,4,2,5,2,3,1,1,1
242,LowVVIQ,-0.5021987183428608,1,4,4,2,4,4,2,2,4,1
243,HighVVIQ,1.4960606698463506,5,5,5,5,5,5,3,5,5,5
244,LowVVIQ,-1.137303620665745,1,2,3,1,2,2,1,1,2,1
245,LowVVIQ,-0.17905159438019844,5,4,4,3,3,4,1,2,1,4
246,HighVVIQ,1.902361821678927,5,5,5,5,5,5,5,4,5,4
247,LowVVIQ,-0.1009748853288084,3,5,3,3,4,3,5,2,2,3
248,LowVVIQ,-1.3598407038213938,1,1,4,2,2,1,1,1,3,1
249,LowVVIQ,-0.6647694352740622,1,3,4,2,3,1,2,1,3,1
250,HighVVIQ,0.48545997890487813,4,5,5,2,4,5,3,5,5,2
251,LowVVIQ,-0.37560287166977346,5,3,3,2,3,1,4,1,2,2
252,LowVVIQ,-0.561876363549783,1,3,3,3,5,1,3,3,3,1
253,LowVVIQ,-0.34391723412845926,4,4,4,4,2,2,4,1,3,1
254,HighVVIQ,0.09049664713922118,3,4,2,4,4,5,5,2,1,3
255,HighVVIQ,1.598508771145826,5,5,5,4,5,5,5,3,5,1
256,LowVVIQ,-0.08856511213888398,2,3,5,3,2,5,4,2,4,1
257,HighVVIQ,1.0807994961515173,5,5,5,4,5,5,4,4,5,3
258,HighVVIQ,0.6307541156505666,3,4,5,3,4,5,4,3,5,4
259,LowVVIQ,-0.11363989550614068,4,3,3,2,3,4,3,2,4,2
260,LowVVIQ,-1.5329020028905982,2,1,2,1,1,1,1,1,1,1
261,LowVVIQ,-0.5211173175525201,5,1,2,4,3,3,2,1,3,3
262,LowVVIQ,-0.48987045313847427,3,4,5,1,4,1,4,2,2,2
263,HighVVIQ,0.04715443276152723,5,3,2,3,4,4,2,3,3,4
264,HighVVIQ,1.3001986776668206,5,5,5,5,5,5,5,4,2,3
265,HighVVIQ,2.293078973831094,5,5,5,5,5,5,5,5,5,5
266,HighVVIQ,1.5475810589837693,5,5,5,5,4,5,5,5,5,5
267,LowVVIQ,-0.13315096432894447,2,4,3,2,2,2,4,2,4,3
268,LowVVIQ,-1.7565273955576375,1,1,2,1,1,1,2,1,1,1
269,LowVVIQ,-0.3887798640717435,4,4,4,1,2,1,3,1,2,1
270,HighVVIQ,0.08920722307329454,4,3,4,5,3,4,1,3,5,2
271,HighVVIQ,0.845013004067436,5,5,3,2,5,5,4,2,5,2
272,HighVVIQ,0.962527968484271,4,5,4,5,5,5,3,3,4,3
273,HighVVIQ,0.6843094294164646,4,5,5,3,5,3,4,2,4,4
274,LowVVIQ,-1.3952743497994675,1,3,1,1,2,1,5,1,1,1
275,HighVVIQ,0.8496430456333551,5,5,5,5,5,5,5,3,4,4
276,LowVVIQ,-0.44655721642722224,1,4,5,4,2,4,2,2,1,3
277,HighVVIQ,0.17480270016125568,4,3,5,5,3,2,5,2,4,1
278,HighVVIQ,0.07455117717373456,2,3,3,3,3,3,4,4,4,3
279,HighVVIQ,0.4281667649705055,5,5,5,3,5,5,4,2,3,4
280,HighVVIQ,0.02467498282613994,4,3,4,3,5,4,4,3,4,1
281,LowVVIQ,-1.667475097585663,1,1,1,1,2,1,2,1,1,1
282,HighVVIQ,0.7364959647734421,5,5,5,2,5,5,5,4,4,4
283,HighVVIQ,0.3860265683496758,4,5,5,4,3,2,5,3,5,2
284,LowVVIQ,-0.26565162527822234,3,5,5,2,4,4,4,1,3,4
285,HighVVIQ,0.11814451104668068,4,4,5,3,4,4,3,3,3,2
286,HighVVIQ,0.13403864536846335,2,3,4,1,4,2,5,2,2,2
287,HighVVIQ,0.2210194685610021,3,4,5,4,5,4,3,2,4,1
288,HighVVIQ,1.640846165977486,5,5,5,5,5,5,5,5,5,4
289,LowVVIQ,-0.21905037893347584,5,4,4,3,3,4,2,2,2,1
290,HighVVIQ,0.16806538388465753,5,5,5,3,2,3,5,2,5,5
291,HighVVIQ,1.168383873069093,5,5,5,5,5,5,5,3,5,2
292,HighVVIQ,1.054181023376919,5,5,5,5,5,5,5,5,5,5
293,HighVVIQ,1.1452631103803574,5,5,5,5,5,5,5,3,4,5
294,LowVVIQ,-0.5774680010595568,2,4,4,1,3,3,4,1,3,1
295,HighVVIQ,2.0024827302928294,5,5,5,5,5,5,3,3,5,5
296,HighVVIQ,0.06670087093018297,5,4,4,3,4,3,4,2,3,1
297,HighVVIQ,1.8668518447068625,5,5,5,5,5,5,5,5,5,5
298,LowVVIQ,-1.3509026860307116,1,2,1,1,1,2,3,1,1,1
299,HighVVIQ,0.02098358635423748,1,5,5,3,5,2,4,1,4,1
300,HighVVIQ,1.2499145709692157,5,5,5,5,5,5,5,4,4,5
301,LowVVIQ,-0.7152421872227963,3,3,2,2,4,3,3,1,1,1
302,LowVVIQ,-0.752688968217742,3,2,3,3,1,1,4,3,2,1
303,LowVVIQ,-0.9385387036068938,1,3,3,2,1,1,3,1,2,1
304,LowVVIQ,-1.0525132793387366,1,1,2,3,2,1,3,1,1,1
305,LowVVIQ,-0.43715953318039885,4,2,4,2,4,4,2,1,2,1
306,HighVVIQ,0.33117917295898186,4,5,5,5,4,3,5,3,5,2
307,LowVVIQ,-2.01421049792072,1,1,1,1,1,1,1,1,1,1
308,HighVVIQ,0.21198043337229178,4,4,5,2,1,5,5,2,2,1
309,HighVVIQ,1.2366750464165703,5,5,5,5,5,5,4,4,5,5
310,HighVVIQ,2.037574018240435,5,5,5,5,5,5,5,3,5,5
311,HighVVIQ,1.3011759922005872,5,5,5,5,5,5,5,4,4,2
312,HighVVIQ,0.7567747637959615,5,5,5,4,5,5,5,2,5,4
313,LowVVIQ,-1.72673039911433,1,1,1,1,1,1,3,1,1,1
314,LowVVIQ,-0.601506708006782,5,2,4,1,4,3,2,1,3,1
315,LowVVIQ,-0.35204645658261685,3,4,5,2,3,1,4,2,4,1
316,HighVVIQ,0.7035239027568945,5,5,5,5,5,5,4,2,5,3
317,LowVVIQ,-0.10567133400377447,1,4,4,4,2,4,1,1,5,2
318,LowVVIQ,-1.2586486280601719,1,1,2,2,2,1,2,1,1,1
319,HighVVIQ,1.6844357080941148,5,5,5,5,5,5,5,1,5,5
320,HighVVIQ,0.9113912917959627,5,5,3,5,5,4,5,3,3,5
321,HighVVIQ,0.23743027249102577,3,5,5,5,3,4,3,3,4,5
322,HighVVIQ,1.2181086103258114,5,5,5,5,5,5,5,5,5,2
323,LowVVIQ,-1.3387742872349724,1,1,1,2,1,1,5,1,3,1
324,HighVVIQ,0.6608202977898003,5,5,5,4,5,3,5,2,5,1
325,LowVVIQ,-0.5229123763134219,4,4,1,2,3,5,4,1,3,1
326,HighVVIQ,0.6837455218507125,5,5,5,4,5,5,5,3,3,3
327,LowVVIQ,-0.06082195466007423,3,4,2,3,5,5,4,1,1,2
328,HighVVIQ,0.63296071303145085,3,5,3,4,5,5,5,4,4,3
329,HighVVIQ,1.335517615059392,5,5,5,5,5,5,5,3,5,4
330,LowVVIQ,0.0072900903168987945,3,4,5,1,4,4,3,3,3,1
331,HighVVIQ,1.0175586369520924,5,5,5,5,5,5,5,1,4,3
332,LowVVIQ,-1.188434035147979,1,1,2,1,2,3,1,1,1,1
333,LowVVIQ,-0.7216044404360152,4,3,4,1,3,4,2,1,3,1
334,HighVVIQ,1.5192177113881782,5,5,5,5,5,5,5,3,5,4
335,HighVVIQ,0.3773879730239293,3,5,5,4,5,5,4,2,4,1
336,LowVVIQ,-2.05222282043373,1,1,2,1,1,1,2,1,1,1
337,LowVVIQ,-1.3640374520823753,1,1,4,1,3,1,4,1,1,2
338,LowVVIQ,-0.2007810155891212,3,2,5,4,4,4,3,3,4,1
339,HighVVIQ,0.865779404334488,5,5,5,5,5,5,4,2,4,5
340,LowVVIQ,-0.10188325571522247,4,5,5,3,2,3,4,1,4,2
341,HighVVIQ,0.6241874720206527,3,4,5,5,4,5,2,2,5,3
342,HighVVIQ,0.9590053777878254,5,5,3,4,4,5,4,5,5,4
343,HighVVIQ,1.6710548288629392,5,5,5,5,5,5,5,5,5,5
344,HighVVIQ,0.056016733274961934,2,3,4,4,3,4,2,2,3,2
345,LowVVIQ,-0.05198190618089897,4,4,5,1,4,5,4,2,1,1
346,LowVVIQ,-1.7532373591422696,1,1,1,1,1,2,1,1,1,1
347,HighVVIQ,0.09932759408782749,5,5,5,3,3,3,5,1,4,3
348,LowVVIQ,-0.5718500578955633,2,3,2,1,3,3,3,1,1,1
349,LowVVIQ,-0.9740095828040912,1,2,2,1,2,3,1,2,1,1
350,LowVVIQ,-0.1799062310475403,3,3,4,2,3,3,4,2,3,1
351,HighVVIQ,1.0149431727436575,5,5,5,5,5,5,5,2,5,4
352,LowVVIQ,-1.9927484886885825,1,1,1,1,1,1,2,1,1,1
353,LowVVIQ,-0.4272792872054287,1,3,3,3,4,4,4,1,2,1
